name,currency_alphabetic_code,currency_country_name,currency_name
Equatorial Guinea,XAF,EQUATORIAL GUINEA,CFA Franc BEAC
Eritrea,ERN,ERITREA,Nakfa
Estonia,EUR,ESTONIA,Euro
Ethiopia,ETB,ETHIOPIA,Ethiopian Birr
Falkland Islands,FKP,FALKLAND ISLANDS (MALVINAS),Falkland Islands Pound
Faroe Islands,DKK,FAROE ISLANDS,Danish Krone
Fiji,FJD,FIJI,Fiji Dollar
Finland,EUR,FINLAND,Euro
France,EUR,FRANCE,Euro
French Guiana,EUR,FRENCH GUIANA,Euro
French Polynesia,XPF,FRENCH POLYNESIA,CFP Franc
French Southern Territories,EUR,FRENCH SOUTHERN TERRITORIES,Euro
Gabon,XAF,GABON,CFA Franc BEAC
Gambia,GMD,GAMBIA,Dalasi
Georgia,GEL,GEORGIA,Lari
Germany,EUR,GERMANY,Euro
Ghana,GHS,GHANA,Ghana Cedi
Gibraltar,GIP,GIBRALTAR,Gibraltar Pound
Greece,EUR,GREECE,Euro
Greenland,DKK,GREENLAND,Danish Krone
Grenada,XCD,GRENADA,East Caribbean Dollar
Guadeloupe,EUR,GUADELOUPE,Euro
Guam,USD,GUAM,US Dollar
Guatemala,GTQ,GUATEMALA,Quetzal
Guernsey,GBP,GUERNSEY,Pound Sterling
Guinea,GNF,GUINEA,Guinea Franc
Guinea-Bissau,XOF,GUINEA-BISSAU,CFA Franc BCEAO
Guyana,GYD,GUYANA,Guyana Dollar
Haiti,USD,HAITI,US Dollar
Heard Island and McDonald Mcdonald Islands,AUD,HEARD ISLAND AND McDONALD ISLANDS,Australian Dollar
Holy See (Vatican City State),EUR,HOLY SEE (VATICAN CITY STATE),Euro
Honduras,HNL,HONDURAS,Lempira
Hong Kong,HKD,HONG KONG,Hong Kong Dollar
Hungary,HUF,HUNGARY,Forint
Iceland,ISK,ICELAND,Iceland Krona
India,INR,INDIA,Indian Rupee
Indonesia,IDR,INDONESIA,Rupiah
Iran,IRR,"IRAN, ISLAMIC REPUBLIC OF",Iranian Rial
Iraq,IQD,IRAQ,Iraqi Dinar
Ireland,EUR,IRELAND,Euro
Isle of Man,GBP,ISLE OF MAN,Pound Sterling
Israel,ILS,ISRAEL,New Israeli Sheqel
Italy,EUR,ITALY,Euro
Jamaica,JMD,JAMAICA,Jamaican Dollar
Japan,JPY,JAPAN,Yen
Jersey,GBP,JERSEY,Pound Sterling
Jordan,JOD,JORDAN,Jordanian Dinar
Kazakhstan,KZT,KAZAKHSTAN,Tenge
Kenya,KES,KENYA,Kenyan Shilling
Kiribati,AUD,KIRIBATI,Australian Dollar
North Korea,KPW,"KOREA, DEMOCRATIC PEOPLE’S REPUBLIC OF",North Korean Won
South Korea,KRW,"KOREA, REPUBLIC OF",Won
Kuwait,KWD,KUWAIT,Kuwaiti Dinar
Kyrgyzstan,KGS,KYRGYZSTAN,Som
Laos,LAK,LAO PEOPLE’S DEMOCRATIC REPUBLIC,Kip
Latvia,EUR,LATVIA,Euro
Lebanon,LBP,LEBANON,Lebanese Pound
Lesotho,ZAR,LESOTHO,Rand
Liberia,LRD,LIBERIA,Liberian Dollar
Libya,LYD,LIBYA,Libyan Dinar
Liechtenstein,CHF,LIECHTENSTEIN,Swiss Franc
Lithuania,EUR,LITHUANIA,Euro
Luxembourg,EUR,LUXEMBOURG,Euro
Macau,MOP,MACAO,Pataca
Macedonia,MKD,"MACEDONIA, THE FORMER YUGOSLAV REPUBLIC OF",Denar
Madagascar,MGA,MADAGASCAR,Malagasy Ariary
Malawi,MWK,MALAWI,Kwacha
Malaysia,MYR,MALAYSIA,Malaysian Ringgit
Maldives,MVR,MALDIVES,Rufiyaa
Mali,XOF,MALI,CFA Franc BCEAO
Malta,EUR,MALTA,Euro
Marshall Islands,USD,MARSHALL ISLANDS,US Dollar
Martinique,EUR,MARTINIQUE,Euro
Mauritania,MRO,MAURITANIA,Ouguiya
Mauritius,MUR,MAURITIUS,Mauritius Rupee
Mayotte,EUR,MAYOTTE,Euro
Mexico,MXN,MEXICO,Mexican Peso
Micronesia,USD,"MICRONESIA, FEDERATED STATES OF",US Dollar
Moldova,MDL,"MOLDOVA, REPUBLIC OF",Moldovan Leu
Monaco,EUR,MONACO,Euro
Mongolia,MNT,MONGOLIA,Tugrik
Montenegro,EUR,MONTENEGRO,Euro
Montserrat,XCD,MONTSERRAT,East Caribbean Dollar
Morocco,MAD,MOROCCO,Moroccan Dirham
Mozambique,MZN,MOZAMBIQUE,Mozambique Metical
Myanmar,MMK,MYANMAR,Kyat
Namibia,ZAR,NAMIBIA,Rand
Nauru,AUD,NAURU,Australian Dollar
Nepal,NPR,NEPAL,Nepalese Rupee
Netherlands,EUR,NETHERLANDS,Euro
New Caledonia,XPF,NEW CALEDONIA,CFP Franc
New Zealand,NZD,NEW ZEALAND,New Zealand Dollar
Nicaragua,NIO,NICARAGUA,Cordoba Oro
Niger,XOF,NIGER,CFA Franc BCEAO
Nigeria,NGN,NIGERIA,Naira
Niue,NZD,NIUE,New Zealand Dollar
Norfolk Island,AUD,NORFOLK ISLAND,Australian Dollar
Northern Mariana Islands,USD,NORTHERN MARIANA ISLANDS,US Dollar
Norway,NOK,NORWAY,Norwegian Krone
Oman,OMR,OMAN,Rial Omani
Pakistan,PKR,PAKISTAN,Pakistan Rupee
Palau,USD,PALAU,US Dollar
Palestine,ILS,"PALESTINE, STATE OF",No universal currency
Panama,USD,PANAMA,US Dollar
Papua New Guinea,PGK,PAPUA NEW GUINEA,Kina
Paraguay,PYG,PARAGUAY,Guarani
Peru,PEN,PERU,Nuevo Sol
Philippines,PHP,PHILIPPINES,Philippine Peso
Pitcairn,NZD,PITCAIRN,New Zealand Dollar
Poland,PLN,POLAND,Zloty
Portugal,EUR,PORTUGAL,Euro
Puerto Rico,USD,PUERTO RICO,US Dollar
Qatar,QAR,QATAR,Qatari Rial
Romania,RON,ROMANIA,New Romanian Leu
Russia,RUB,RUSSIAN FEDERATION,Russian Ruble
Rwanda,RWF,RWANDA,Rwanda Franc
Reunion,EUR,RÉUNION,Euro
Saint Barthélemy,EUR,SAINT BARTHÉLEMY,Euro
"Saint Helena, Ascension and Tristan da Cunha",SHP,"SAINT HELENA, ASCENSION AND TRISTAN DA CUNHA",Saint Helena Pound
Saint Kitts and Nevis,XCD,SAINT KITTS AND NEVIS,East Caribbean Dollar
Saint Lucia,XCD,SAINT LUCIA,East Caribbean Dollar
Saint Martin (French part),EUR,SAINT MARTIN (FRENCH PART),Euro
Saint Pierre and Miquelon,EUR,SAINT PIERRE AND MIQUELON,Euro
Saint Vincent and the Grenadines,XCD,SAINT VINCENT AND THE GRENADINES,East Caribbean Dollar
Samoa,WST,SAMOA,Tala
San Marino,EUR,SAN MARINO,Euro
Sao Tome and Principe,STD,SAO TOME AND PRINCIPE,Dobra
Saudi Arabia,SAR,SAUDI ARABIA,Saudi Riyal
Senegal,XOF,SENEGAL,CFA Franc BCEAO
Serbia,RSD,SERBIA,Serbian Dinar
Seychelles,SCR,SEYCHELLES,Seychelles Rupee
Sierra Leone,SLL,SIERRA LEONE,Leone
Singapore,SGD,SINGAPORE,Singapore Dollar
Sint Maarten,ANG,SINT MAARTEN (DUTCH PART),Netherlands Antillean Guilder
Slovakia,EUR,SLOVAKIA,Euro
Slovenia,EUR,SLOVENIA,Euro
Solomon Islands,SBD,SOLOMON ISLANDS,Solomon Islands Dollar
Somalia,SOS,SOMALIA,Somali Shilling
South Africa,ZAR,SOUTH AFRICA,Rand
South Georgia and the South Sandwich Islands,,SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,No universal currency
South Sudan,SSP,SOUTH SUDAN,South Sudanese Pound
Spain,EUR,SPAIN,Euro
Sri Lanka,LKR,SRI LANKA,Sri Lanka Rupee
Sudan,SDG,SUDAN,Sudanese Pound
Suriname,SRD,SURINAME,Surinam Dollar
Svalbard and Jan Mayen,NOK,SVALBARD AND JAN MAYEN,Norwegian Krone
Swaziland,SZL,SWAZILAND,Lilangeni
Sweden,SEK,SWEDEN,Swedish Krona
Switzerland,CHF,SWITZERLAND,Swiss Franc
Syria,SYP,SYRIAN ARAB REPUBLIC,Syrian Pound
Taiwan,TWD,"TAIWAN, PROVINCE OF CHINA",New Taiwan Dollar
Tajikistan,TJS,TAJIKISTAN,Somoni
Tanzania,TZS,"TANZANIA, UNITED REPUBLIC OF",Tanzanian Shilling
Thailand,THB,THAILAND,Baht
Timor-Leste,USD,TIMOR-LESTE,US Dollar
Togo,XOF,TOGO,CFA Franc BCEAO
Tokelau,NZD,TOKELAU,New Zealand Dollar
Tonga,TOP,TONGA,Pa’anga
Trinidad and Tobago,TTD,TRINIDAD AND TOBAGO,Trinidad and Tobago Dollar
Tunisia,TND,TUNISIA,Tunisian Dinar
Turkey,TRY,TURKEY,Turkish Lira
Turkmenistan,TMT,TURKMENISTAN,Turkmenistan New Manat
Turks and Caicos Islands,USD,TURKS AND CAICOS ISLANDS,US Dollar
Tuvalu,AUD,TUVALU,Australian Dollar
Uganda,UGX,UGANDA,Uganda Shilling
Ukraine,UAH,UKRAINE,Hryvnia
United Arab Emirates,AED,UNITED ARAB EMIRATES,UAE Dirham
United Kingdom,GBP,UNITED KINGDOM,Pound Sterling
United States,USD,UNITED STATES,US Dollar
United States Minor Outlying Islands,USD,UNITED STATES MINOR OUTLYING ISLANDS,US Dollar
Uruguay,UYU,URUGUAY,Peso Uruguayo
Uzbekistan,UZS,UZBEKISTAN,Uzbekistan Sum
Vanuatu,VUV,VANUATU,Vatu
Venezuela,VEF,"VENEZUELA, BOLIVARIAN REPUBLIC OF",Bolivar
Vietnam,VND,VIET NAM,Dong
"Virgin Islands, British",USD,VIRGIN ISLANDS (BRITISH),US Dollar
"Virgin Islands, U.S.",USD,VIRGIN ISLANDS (U.S.),US Dollar
Wallis and Futuna,XPF,WALLIS AND FUTUNA,CFP Franc
Western Sahara,MAD,WESTERN SAHARA,Moroccan Dirham
Yemen,YER,YEMEN,Yemeni Rial
Zambia,ZMW,ZAMBIA,Zambian Kwacha
Zimbabwe,ZWD,ZIMBABWE,Zimbabwe Dollar
Åland Islands,EUR,ÅLAND ISLANDS,Euro
